material_id,formula_pretty,symmetry.crystal_system,symmetry.number,bulk_modulus.vrh,shear_modulus.vrh,youngs_modulus_vrh
mp-cltmd,Si,Triclinic,1,67.85,28.045,73.94667091258448
mp-bq,Ta,Tetragonal,113,195.555,60.284,163.99984941626005
mp-bigr,Bi,Monoclinic,12,43.62,11.548,31.834685130048875
mp-bglwt,Te,Monoclinic,12,42.656,20.96,54.03032230339493
mp-ckipy,C,Tetragonal,139,149.065,64.776,169.7410790064281
mp-cewcu,Si,Tetragonal,139,81.337,46.823,117.85410632525772
mp-da,Ge,Tetragonal,141,69.319,39.008,98.54011689105744
mp-dg,Sn,Tetragonal,141,47.261,25.121,64.01998890979245
mp-do,Si,Tetragonal,141,107.613,62.896,157.92148815119188
mp-ey,Ge,Trigonal,148,55.811,40.309,97.46305701783943
mp-fr,Se,Trigonal,148,4.152,4.031,9.136313944319767
mp-bgnlo,Si,Trigonal,148,79.59,60.71,145.20896253506078
mp-t,Te,Trigonal,152,19.355,14.952,35.670647109577224
mp-bfqdk,S,Trigonal,154,6.378,4.006,9.937442178046673
mp-bghft,Te,Trigonal,154,19.198,15.001,35.7035991734968
mp-cfyco,Tm,Trigonal,166,43.971,28.525,70.36023245739787
mp-cfyda,Li,Trigonal,166,13.804,4.151,11.318474112766937
mp-ea,Sb,Trigonal,166,32.445,20.273,50.33515887524658
mp-pty,Dy,Trigonal,166,41.039,27.353,67.14200772911543
mp-ptz,Ho,Trigonal,166,42.255,27.815,68.42997428515979
mp-l,As,Trigonal,166,31.388,20.3,50.09948630136987
mp-rhy,Tb,Trigonal,166,40.128,26.556,65.26985512454063
mp-cpkij,Hg,Trigonal,166,11.457,2.516,7.03316366199474
mp-fa,P,Trigonal,166,49.335,39.838,94.16730764521435
mp-ge,B,Trigonal,166,210.223,172.392,406.1545396227683
mp-gn,C,Trigonal,166,115.697,80.084,195.21111238251308
mp-bigm,Bi,Trigonal,166,27.767,8.365,22.804950526912926
mp-ftpiy,Hg,Trigonal,166,7.622,3.832,9.845963592778483
mp-bgjsx,Ga,Trigonal,166,47.111,12.714,34.994016670237
mp-di,Sm,Trigonal,166,36.407,23.389,57.79134233466556
mp-cdikq,Yb,Trigonal,166,14.69,9.767,23.98527165332392
mp-cdkfb,Lu,Trigonal,166,44.851,28.755,71.0756028179881
mp-cdmkn,Re,Trigonal,166,365.253,182.644,469.6495709005689
mp-cimmv,Li,Hexagonal,191,13.65,5.187,13.811538461538463
mp-bi,Si,Hexagonal,191,106.499,56.749,144.56872832933774
mp-cu,Ti,Hexagonal,191,112.881,62.245,157.7410663452136
mp-bqyab,H2,Hexagonal,191,14.134,8.451,21.139714589109786
mp-cfiua,Ge,Hexagonal,194,59.529,45.231,108.27103178028578
mp-cfkbq,Au,Hexagonal,194,120.075,12.694,36.78570534083809
mp-pbg,Na,Hexagonal,194,7.777,4.588,11.502127010279738
mp-pbh,Li,Hexagonal,194,14.344,7.956,20.143715697811253
mp-pen,Ni,Hexagonal,194,197.345,80.204,211.90488118065156
mp-dz,Hf,Hexagonal,194,108.287,56.604,144.6143057213637
mp-cigyq,Pr,Hexagonal,194,32.605,13.525,35.646161532243575
mp-prp,Ag,Hexagonal,194,90.122,33.559,89.56037766554249
mp-ptp,Si,Hexagonal,194,87.289,64.435,155.1329763072246
mp-ei,Y,Hexagonal,194,41.717,27.122,66.87355122707243
mp-ej,Tc,Hexagonal,194,296.007,145.8,375.7133830711507
mp-cpkhu,Hg,Hexagonal,194,7.877,3.948,10.148502991406504
mp-cpnub,Re,Hexagonal,194,364.898,196.072,498.8638730056416
mp-et,Nd,Hexagonal,194,33.844,21.438,53.101805708709435
mp-fb,Zr,Hexagonal,194,93.831,33.105,88.864129126695
mp-fc,Ca,Hexagonal,194,17.349,10.874,26.984269703278716
mp-fg,Fe,Hexagonal,194,295.605,180.477,449.8760716514318
mp-fj,Sr,Hexagonal,194,11.529,7.697,18.887721525872667
mp-fn,Tm,Hexagonal,194,45.516,31.32,76.4293973836586
mp-fo,Ho,Hexagonal,194,43.126,28.414,69.8922599117826
mp-fx,Mg,Hexagonal,194,36.448,24.389,59.82347250117771
mp-gj,Si,Hexagonal,194,88.815,61.322,149.5477606653507
mp-s,Tb,Hexagonal,194,38.449,23.903,59.399770362657094
mp-bedo,Ce,Hexagonal,194,34.679,23.828,58.16275687639306
mp-bero,Ce,Hexagonal,194,31.937,32.268,72.41536898320567
mp-ba,La,Hexagonal,194,25.86,16.922,41.67558654843284
mp-bh,Ru,Hexagonal,194,310.062,193.869,481.2955673005324
mp-bm,Pr,Hexagonal,194,32.216,19.899,49.50445447759274
mp-bu,Ti,Hexagonal,194,112.944,48.257,126.72291765459623
mp-bw,C,Hexagonal,194,115.976,89.734,214.00741543931164
mp-ce,Ba,Hexagonal,194,8.259,4.782,12.025130823099564
mp-bgnbd,Tb,Hexagonal,194,40.022,26.483,65.09170061890562
mp-cp,Sc,Hexagonal,194,54.533,32.26,80.83933452126276
mp-cq,Sm,Hexagonal,194,35.412,19.245,48.88019269849619
mp-cr,Sm,Hexagonal,194,36.692,24.026,59.16435197088783
mp-i,Re,Hexagonal,194,365.046,168.04,437.05714361713075
mp-de,Tl,Hexagonal,194,26.378,11.153,29.32586647025596
mp-mrm,Ag,Hexagonal,194,88.449,32.087,85.87642154898231
mp-bxcek,Ac,Hexagonal,194,24.648,17.221,41.90389811879558
mp-bxivw,Pm,Hexagonal,194,35.282,22.869,56.417484535601915
mp-bxivy,Sr,Hexagonal,194,11.444,6.8870000000000005,17.208895218224608
mp-bxjbr,Tc,Hexagonal,194,299.67,149.971,385.5897162389023
mp-dj,Be,Hexagonal,194,120.019,133.872,292.7640452615659
mp-dk,Dy,Hexagonal,194,40.246,26.543,65.27825179079447
mp-dq,Cd,Hexagonal,194,41.91,13.413,36.36007179664087
mp-cdjxc,Mg,Hexagonal,194,35.997,24.167,59.24314450127877
mp-cdkva,Ho,Hexagonal,194,42.273,28.439,69.68926962217728
mp-cdokh,Li,Hexagonal,194,13.866,6.849,17.642250417982538
mp-cdxfm,Na,Hexagonal,194,7.773,3.678,9.530756972996999
mp-ceibf,Cu,Hexagonal,194,132.163,65.761,169.21695919307734
mp-dv,Er,Hexagonal,194,44.76,31.02,75.59647186932848
mp-gm,Si,Cubic,206,86.24,62.471,150.9615504793098
mp-cdhjp,Si,Cubic,217,79.715,47.329,118.52901525094774
mp-bgkix,Ga,Cubic,220,62.324,38.547,95.87497750522128
mp-k,As,Cubic,221,79.731,32.38,85.55787217433252
mp-ptu,Te,Cubic,221,50.533,5.86,16.92574206618866
mp-fd,Sb,Cubic,221,56.475,22.101,58.65201473951317
mp-bghqr,Bi,Cubic,221,46.757,16.698,44.765115876383234
mp-lmh,Se,Cubic,221,70.526,4.975,14.582119157896681
mp-qty,W,Cubic,223,298.22,134.395,350.52887561889315
mp-r,Cr,Cubic,223,252.155,116.144,302.05580377924133
mp-cdhjq,Si,Cubic,223,75.91,45.957,114.71996415613455
mp-ovi,Ac,Cubic,225,23.574,13.226,33.426734597608046
mp-dy,Co,Cubic,225,200.587,120.256,300.6800566302456
mp-cgexp,Sn,Cubic,225,46.107,15.269,41.25314178657464
mp-pxc,Pa,Cubic,225,94.772,50.133,127.85459691612175
mp-pxm,Dy,Cubic,225,41.225,26.058,64.56939652581596
mp-pxo,Er,Cubic,225,42.186,26.865,66.48248313486243
mp-ek,Pu,Cubic,225,34.9,17.687,45.39278436435242
mp-rxd,Ge,Cubic,225,63.414,27.414,71.88353440291102
mp-eu,Ag,Cubic,225,87.692,13.21,37.73517977747697
mp-ew,Pt,Cubic,225,248.014,49.52,139.2895319080299
mp-ga,La,Cubic,225,20.188,14.36,34.823249159147935
mp-gd,Nd,Cubic,225,31.862,18.911,47.36264302121453
mp-gg,Yb,Cubic,225,14.766,8.32,21.013304952677792
mp-c,Pd,Cubic,225,166.982,48.469,132.5792980206219
mp-behv,Pb,Cubic,225,39.516,11.204,30.70962587089216
mp-bfqf,Sm,Cubic,225,36.46,22.798,56.59743467142792
mp-x,Ni,Cubic,225,173.808,91.592,233.72114434859773
mp-bc,Ce,Cubic,225,39.338,33.95,79.09587731304784
mp-be,Cu,Cubic,225,151.394,49.843,134.74208675760133
mp-bk,Sc,Cubic,225,50.651,22.413,58.59610111489625
mp-bl,Th,Cubic,225,55.005,39.908,96.40819166223412
mp-bt,Ca,Cubic,225,17.224,7.495,19.636704919972285
mp-bz,Li,Cubic,225,13.874,3.618,9.985967904509282
mp-kir,Ti,Cubic,225,108.54,37.093,99.89900549470244
mp-kpn,Tb,Cubic,225,40.344,25.572,63.33449914054186
mp-cw,Rh,Cubic,225,252.9,150.16,376.05261096318463
mp-bqwjg,Hg,Cubic,225,6.758,3.256,8.41633795155121
mp-cy,Sr,Cubic,225,10.978,5.411,13.942303351153994
mp-dh,In,Cubic,225,35.245,11.555,31.249925611731605
mp-muc,Mn,Cubic,225,280.959,120.902,317.20606608153946
mp-mud,Zr,Cubic,225,89.974,29.84,80.60867434831633
mp-mug,Tc,Cubic,225,298.021,140.215,363.6189986009565
mp-muh,Ru,Cubic,225,303.897,198.805,489.6426351513198
mp-mui,Hf,Cubic,225,102.549,45.446,118.79016770652488
mp-muk,Re,Cubic,225,363.048,195.364,496.95181754259215
mp-j,Y,Cubic,225,39.59,23.2,58.226329506233725
mp-dt,Pr,Cubic,225,32.21,16.891,43.13327040811832
mp-cdlra,Na,Cubic,225,7.76,2.856,7.631735537190082
mp-en,Sn,Cubic,227,35.858,22.399,55.61655172997469
mp-ft,Si,Cubic,227,88.916,62.445,151.79920769882713
mp-xzw,Si,Cubic,227,61.244,37.17,92.7468077246924
mp-bg,Ge,Cubic,227,57.916,45.07,107.36076136332476
mp-cfxxd,Hg,Cubic,229,24.448,2.877,8.305218561813675
mp-pth,Sc,Cubic,229,53.18,10.981,30.82157751831153
mp-eg,Mg,Cubic,229,36.66,9.504,26.244097619764986
mp-es,Ba,Cubic,229,8.934,5.667,14.033718377529333
mp-ez,Mo,Cubic,229,262.529,117.048,305.7105346664677
mp-n,Fe,Cubic,229,207.093,67.563,182.80885780919283
mp-ff,Li,Cubic,229,13.87,3.745,10.307316723624739
mp-fq,V,Cubic,229,181.232,40.746,113.71583775293357
mp-u,Be,Cubic,229,125.076,111.454,257.7904761959555
mp-by,Ta,Cubic,229,194.527,64.83,175.0443294299449
mp-bgjdq,Bi,Cubic,229,52.755,16.667,45.23705362655203
mp-ct,Yb,Cubic,229,15.868,10.038,24.869831997501826
mp-kpm,Sn,Cubic,229,46.763,11.057,30.74760098714205
mp-cx,Nb,Cubic,229,172.05,25.854,73.86223404255318
mp-dm,Cr,Cubic,229,233.652,76.972,208.06804189590812
mp-dn,W,Cubic,229,302.264,148.152,382.0384258804259
mp-dr,Sr,Cubic,229,12.611,7.209,18.165585253763155
mp-cevqp,Ge,Cubic,229,61.324,19.966,54.03384781649324
mp-eb,Te,Orthorhombic,51,34.252,11.377,30.728755364355624
mp-rbq,Np,Orthorhombic,62,166.958,112.037,274.6716260827429
mp-bs,U,Orthorhombic,63,147.81,113.597,271.2919717177084
mp-cm,Ce,Orthorhombic,63,44.169,32.576,78.4432321680609
mp-cjkeu,Ge,Orthorhombic,64,61.934,17.699,48.47901874683662
mp-fm,Ga,Orthorhombic,64,50.024,30.01,75.0268331093613
